sample	unit	platform	fq1	fq2
1	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/1_S235_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/1_S235_L002_R2_001.fastq.gz
2	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/2_S9_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/2_S9_L002_R2_001.fastq.gz
3	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/3_S17_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/3_S17_L002_R2_001.fastq.gz
4	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/4_S25_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/4_S25_L002_R2_001.fastq.gz
5	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/5_S33_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/5_S33_L002_R2_001.fastq.gz
6	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/6_S41_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/6_S41_L002_R2_001.fastq.gz
7	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/7_S49_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/7_S49_L002_R2_001.fastq.gz
8	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/8_S57_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/8_S57_L002_R2_001.fastq.gz
9	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/9_S65_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/9_S65_L002_R2_001.fastq.gz
10	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/10_S73_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/10_S73_L002_R2_001.fastq.gz
11	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/11_S81_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/11_S81_L002_R2_001.fastq.gz
12	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/12_S89_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/12_S89_L002_R2_001.fastq.gz
13	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/13_S2_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/13_S2_L002_R2_001.fastq.gz
14	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/14_S10_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/14_S10_L002_R2_001.fastq.gz
15	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/15_S18_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/15_S18_L002_R2_001.fastq.gz
16	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/16_S26_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/16_S26_L002_R2_001.fastq.gz
17	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/17_S34_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/17_S34_L002_R2_001.fastq.gz
18	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/18_S42_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/18_S42_L002_R2_001.fastq.gz
19	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/19_S50_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/19_S50_L002_R2_001.fastq.gz
20	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/20_S58_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/20_S58_L002_R2_001.fastq.gz
21	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/21_S66_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/21_S66_L002_R2_001.fastq.gz
22	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/22_S74_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/22_S74_L002_R2_001.fastq.gz
23	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/23_S82_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/23_S82_L002_R2_001.fastq.gz
24	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/24_S90_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/24_S90_L002_R2_001.fastq.gz
25	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/25_S3_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/25_S3_L002_R2_001.fastq.gz
26	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/26_S11_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/26_S11_L002_R2_001.fastq.gz
27	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/27_S19_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/27_S19_L002_R2_001.fastq.gz
28	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/28_S27_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/28_S27_L002_R2_001.fastq.gz
29	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/29_S35_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/29_S35_L002_R2_001.fastq.gz
30	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/30_S43_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/30_S43_L002_R2_001.fastq.gz
30	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/30_S236_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/30_S236_L002_R2_001.fastq.gz
31	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/31_S51_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/31_S51_L002_R2_001.fastq.gz
31	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/31_S237_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/31_S237_L002_R2_001.fastq.gz
32	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/32_S59_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/32_S59_L002_R2_001.fastq.gz
33	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/33_S67_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/33_S67_L002_R2_001.fastq.gz
33	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/33_S238_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/33_S238_L002_R2_001.fastq.gz
34	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/34_S75_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/34_S75_L002_R2_001.fastq.gz
35	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/35_S83_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/35_S83_L002_R2_001.fastq.gz
35	2	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/35_S239_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies_batch2/9373/pool-1/35_S239_L002_R2_001.fastq.gz
36	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/36_S91_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/36_S91_L002_R2_001.fastq.gz
37	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/37_S4_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/37_S4_L002_R2_001.fastq.gz
38	1	ILLUMINA	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/38_S12_L002_R1_001.fastq.gz	/scratch/user/jfaberha/20250811_113557/admera/gp_analysis/rudflies/H7JTLDSXF/8022/38_S12_L002_R2_001.fastq.gz
